Air Force,31,10,21,0.323,-4.9,3.13,1,15,8,10.1,0,10.2,1773,1957,1240,632,1428,0.443,176,562,0.313,333,524,0.635,220,851,389,155,51,394,547,59.6,96,0.367,0.394,0.529,46.8,61.6,8.4,6.2,0.504,19,24.2,0.233,Unnamed: 13,59.6,106,0.4,0.44,0.558,53.2,59.8,9.7,10,0.527,17.2,30.4,0.273
Akron,35,24,11,0.686,2.82,-1.5,12,4,13,5,7,4,2472,2293,1430,877,2024,0.433,235,694,0.339,483,735,0.657,467,1269,473,213,114,464,682,65.9,104.8,0.363,0.343,0.521,51.6,53.9,9,8.5,0.491,16.4,37.2,0.239,,65.9,97.2,0.405,0.293,0.51,48.4,47.9,10.1,6.6,0.464,18.1,33.3,0.287
Alabama A&M,27,11,16,0.407,-20.19,-13.71,8,10,8,5,3,9,1778,1881,1085,599,1568,0.382,108,371,0.291,472,743,0.635,376,1004,288,249,143,444,550,73.2,89.5,0.474,0.237,0.463,46.8,48.1,12.5,12.7,0.416,18.8,33.9,0.301,,73.2,94.7,0.416,0.285,0.5,53.2,56.8,11.3,11.4,0.469,21.4,39.4,0.261
Alabama-Birmingham,34,25,9,0.735,9.46,2.9,11,5,14,4,9,4,2276,2053,1370,763,1806,0.422,177,569,0.311,573,826,0.694,420,1248,390,223,91,451,611,64.9,102.4,0.457,0.315,0.518,53.6,51.1,10,7.3,0.471,17,35.7,0.317,,64.9,92.4,0.376,0.284,0.497,46.4,48.2,10.1,11.1,0.451,18.7,28.2,0.269
Alabama State,31,16,15,0.516,-14.41,-12.02,12,6,9,3,6,11,1998,2043,1245,667,1651,0.404,190,587,0.324,474,739,0.641,400,1101,400,228,129,501,634,67.8,94.7,0.448,0.356,0.499,51.3,60,10.8,11.1,0.462,20,35.6,0.287,,67.8,96.8,0.479,0.27,0.523,48.7,49.1,11.7,10.2,0.482,19.9,31.4,0.32
Alabama,32,17,15,0.531,10.34,6.62,6,10,11,6,3,6,2192,2073,1280,791,1794,0.441,175,500,0.35,435,615,0.707,386,1126,429,249,127,410,583,65.7,104.2,0.343,0.279,0.525,50.5,54.2,11.8,10.9,0.49,16.4,35,0.242,,65.7,98.6,0.365,0.329,0.509,49.5,48.6,8.8,10.1,0.477,18,34.2,0.242
Albany (NY),32,7,25,0.219,-11.94,-5.53,2,14,4,9,3,15,2007,2212,1290,710,1736,0.409,194,585,0.332,393,545,0.721,399,1156,380,187,97,517,602,65.7,94.8,0.314,0.337,0.503,52,53.5,8.8,8.2,0.465,20.6,36,0.226,,65.7,104.4,0.351,0.341,0.53,48,55.7,12.3,11.2,0.497,15.8,31.9,0.243
Alcorn State,31,2,29,0.065,-30.36,-9,2,16,2,8,0,18,1880,2542,1245,651,1717,0.379,135,437,0.309,443,725,0.611,356,1065,269,214,98,642,670,75.3,80.2,0.422,0.255,0.456,44.5,41.3,9.1,7.4,0.418,23.7,29.2,0.258,,75.3,108.5,0.447,0.304,0.548,55.5,63.7,14.3,13.1,0.523,17.4,39.7,0.284
American,31,11,20,0.355,-11.47,-6.89,7,7,7,8,4,12,1941,2083,1265,681,1603,0.425,184,534,0.345,395,571,0.692,304,1097,447,109,81,458,590,64.1,95.7,0.356,0.333,0.518,52.4,65.6,5.4,6.6,0.482,19.6,30.2,0.246,,64.1,102.7,0.389,0.279,0.514,47.6,52.9,12.1,8.4,0.478,12.8,27,0.263
Appalachian State,37,24,13,0.649,1.8,-2.76,13,5,14,4,8,8,2766,2567,1490,954,2006,0.476,279,703,0.397,579,785,0.738,411,1424,447,201,102,544,652,67.5,110,0.391,0.35,0.581,55.7,46.9,8,7.7,0.545,18.6,35.3,0.289,,67.5,102.1,0.325,0.388,0.514,44.3,55.8,10.5,7.4,0.486,13.8,27.4,0.214
Arizona State,33,22,11,0.667,13.8,5.83,12,6,16,4,5,5,2202,1938,1320,743,1645,0.452,271,735,0.369,445,625,0.712,281,1050,461,216,80,392,542,62.1,107.4,0.38,0.447,0.567,49.9,62,10.5,7.2,0.534,16.8,28.3,0.271,,62.1,94.5,0.348,0.338,0.493,50.1,59.7,9,8.9,0.456,17.8,31,0.238
Arizona,31,16,15,0.516,7.97,8.1,10,8,11,5,4,7,2229,2233,1270,745,1681,0.443,194,542,0.358,545,744,0.733,302,1062,384,186,78,436,595,68.4,102.6,0.443,0.322,0.548,49.9,51.5,8.6,6.4,0.501,17.6,29.6,0.324,,68.4,102.8,0.383,0.319,0.525,50.1,50.2,8.3,9.5,0.487,15.8,31.5,0.266
Arkansas-Little Rock,30,8,22,0.267,-10.06,-2.23,4,14,8,6,0,14,2028,2194,1210,670,1576,0.425,185,501,0.369,503,720,0.699,296,1019,363,141,81,402,597,67.2,99.9,0.457,0.318,0.529,49,54.2,6.9,7.7,0.484,17.3,29,0.319,,67.2,108,0.389,0.381,0.544,51,60.3,7.7,9.5,0.508,15.1,31.9,0.272
Arkansas-Pine Bluff,34,18,16,0.529,-8.29,-7.68,14,4,8,1,5,14,2166,2187,1380,725,1778,0.408,141,466,0.303,575,861,0.668,422,1286,421,229,121,569,764,67.4,93.1,0.484,0.262,0.495,54.2,58.1,9.8,10.2,0.447,20.6,35.6,0.323,,67.4,94,0.545,0.307,0.505,45.8,56.2,11.2,11.4,0.455,17.9,27.1,0.361
Arkansas State,31,17,14,0.548,-4.01,-4.39,11,7,10,5,5,8,2160,2065,1250,768,1721,0.446,172,493,0.349,452,682,0.663,367,1188,406,159,129,430,562,67.6,102.3,0.396,0.286,0.528,52.6,52.9,7.5,10.3,0.496,17.4,33.8,0.263,,67.6,97.8,0.337,0.305,0.493,47.4,52.4,10.5,8.1,0.454,15.3,30.1,0.237
Arkansas,32,14,18,0.438,5.87,5.09,7,9,12,8,2,7,2391,2366,1295,829,1859,0.446,201,579,0.347,532,782,0.68,351,1103,440,232,130,439,598,71.3,103.6,0.421,0.311,0.536,48.2,53.1,10,10.1,0.5,16.4,30.7,0.286,,71.3,102.5,0.35,0.328,0.531,51.8,50.3,9.2,11.6,0.493,17.4,34.5,0.253
Army,29,14,15,0.483,-9.11,-7.96,4,10,10,4,4,11,1749,1768,1165,637,1538,0.414,159,488,0.326,316,483,0.654,300,928,334,239,74,430,580,64.9,92.5,0.314,0.317,0.495,49.3,52.4,12.6,9.8,0.466,19.6,30.5,0.205,,64.9,93.5,0.468,0.446,0.532,50.7,59.1,8.7,8.5,0.487,23,30.1,0.328
Auburn,32,15,17,0.469,5.49,4.68,6,10,12,5,1,9,2422,2373,1290,850,1913,0.444,271,819,0.331,451,689,0.655,382,1121,419,252,89,437,635,71,105.7,0.36,0.428,0.541,49.6,49.3,11,7.5,0.515,16.3,32.5,0.236,,71,103.6,0.378,0.347,0.553,50.4,51.6,9.3,10.8,0.518,18.4,31.6,0.27
Austin Peay,32,17,15,0.531,-3.85,-1.68,11,7,11,4,5,9,2320,2317,1305,786,1727,0.455,200,547,0.366,548,790,0.694,347,1092,429,189,107,458,547,67.6,105.2,0.457,0.317,0.552,49.2,54.6,8.6,8.6,0.513,17.9,32,0.317,,67.6,105,0.333,0.329,0.537,50.8,52.8,10.6,10.7,0.505,16.7,34.4,0.233
Ball State,30,15,15,0.5,-4.85,-1.48,8,8,11,6,4,8,1818,1871,1230,617,1486,0.415,113,310,0.365,471,685,0.688,314,1053,332,152,91,435,531,62.6,94.4,0.461,0.209,0.502,51,53.8,7.9,8.4,0.453,19.4,32,0.317,,62.6,97.1,0.314,0.351,0.49,49,59.1,10.5,8.5,0.455,15.7,31.7,0.216
Baylor,36,28,8,0.778,17.97,8.03,11,5,15,1,6,4,2771,2362,1450,993,2040,0.487,255,662,0.385,530,731,0.725,443,1408,508,237,242,491,639,67.2,113.8,0.358,0.325,0.58,54.4,51.2,9.7,17.4,0.549,17.1,38.5,0.26,,67.2,97,0.331,0.351,0.478,45.6,57.7,8.9,6.2,0.44,15,32.8,0.225
Belmont,31,19,12,0.613,1.3,-3.41,14,6,10,3,8,8,2266,2124,1250,763,1699,0.449,244,709,0.344,496,736,0.674,371,1150,445,222,92,513,595,70.1,103.5,0.433,0.417,0.553,51.2,58.3,10.1,7.1,0.521,20,34.9,0.292,,70.1,97,0.372,0.291,0.495,48.8,49.8,12,13.9,0.457,17.3,34.1,0.251
Bethune-Cookman,33,17,16,0.515,-13.14,-8.4,7,9,10,4,4,11,2021,1996,1325,743,1727,0.43,134,395,0.339,401,624,0.643,392,1096,344,227,114,423,593,62,98.5,0.361,0.229,0.499,50.8,46.3,11.1,10.8,0.469,17.3,35,0.232,,62,97.3,0.458,0.33,0.52,49.2,53.4,9.5,8.6,0.485,19.5,32,0.298
Binghamton,31,13,18,0.419,-10.6,-4.31,8,8,9,3,3,12,1909,2082,1250,690,1632,0.423,158,544,0.29,371,558,0.665,359,1078,299,166,122,439,530,63.2,96.7,0.342,0.333,0.503,50.2,43.3,8.4,11,0.471,18.8,34.2,0.227,,63.2,105.4,0.332,0.359,0.521,49.8,54.5,9.8,7.2,0.492,15.1,34.5,0.222
Boise State,32,15,17,0.469,-1.11,0.68,5,11,9,7,4,9,2370,2331,1290,894,1942,0.46,192,578,0.332,390,578,0.675,371,1148,515,244,119,458,537,71.3,103,0.298,0.298,0.535,50.8,57.6,10.6,8.9,0.51,17.1,32.7,0.201,,71.3,101.3,0.309,0.297,0.535,49.2,49.1,8.6,6.7,0.509,17.8,31.1,0.21
Boston College,31,15,16,0.484,9.58,7.21,6,10,11,6,3,7,2145,2048,1240,798,1786,0.447,159,487,0.326,390,545,0.716,401,1124,465,155,108,394,524,65.8,105.1,0.305,0.273,0.524,53.5,58.3,7.6,8.6,0.491,16.2,38.5,0.218,,65.8,100.3,0.31,0.283,0.508,46.5,47.5,9.2,11.1,0.478,15.3,31.7,0.208
Boston University,35,21,14,0.6,0.57,-3.23,11,5,10,4,9,8,2528,2395,1410,833,2033,0.41,300,824,0.364,562,776,0.724,397,1296,398,257,114,475,744,70.1,102.3,0.382,0.405,0.526,49.4,47.8,10.4,9,0.484,16.5,30.1,0.276,,70.1,96.9,0.424,0.352,0.508,50.6,54.7,8.9,9.7,0.468,17.8,31,0.286
Bowling Green State,30,14,16,0.467,-4.7,-0.94,6,10,9,5,5,11,1889,1976,1205,695,1564,0.444,130,399,0.326,369,551,0.67,327,1011,393,204,99,420,494,63.8,98.3,0.352,0.255,0.517,51.2,56.5,10.6,10.1,0.486,18.7,33.6,0.236,,63.8,102.8,0.346,0.385,0.533,48.8,64.6,11.1,8.2,0.503,17.5,31.7,0.235
Bradley,31,16,15,0.516,3.74,4.11,9,9,10,5,4,8,2091,2089,1250,721,1641,0.439,187,525,0.356,462,621,0.744,283,1021,370,195,85,373,518,64.9,103.1,0.378,0.32,0.54,48.5,51.3,9.6,8.2,0.496,16.2,28.4,0.282,,64.9,103,0.305,0.41,0.517,51.5,56.7,8.8,5.7,0.474,15.8,33.2,0.236
Brigham Young,36,30,6,0.833,18.82,3,13,3,15,1,10,4,2992,2392,1450,1025,2120,0.483,292,700,0.417,650,823,0.79,367,1332,567,307,126,417,621,71,116.1,0.388,0.33,0.596,53,55.3,11.9,9.1,0.552,14.2,31.2,0.307,,71,92.9,0.358,0.323,0.499,47,53.2,8.4,7.4,0.462,19.1,27.8,0.244
Brown,31,11,20,0.355,-10.68,-3.82,5,9,4,9,6,10,2073,2231,1250,710,1610,0.441,212,611,0.347,441,602,0.733,225,990,417,121,118,402,436,66.5,99.8,0.374,0.38,0.547,46.1,58.7,5.8,8.8,0.507,17.5,22.5,0.274,,66.5,107.4,0.238,0.304,0.519,53.9,49.9,10.3,11,0.497,12.7,33.3,0.161
Bucknell,31,14,17,0.452,-7.94,-6.84,9,5,8,5,5,11,2077,2107,1260,717,1749,0.41,200,607,0.329,443,607,0.73,335,1048,370,152,113,359,553,65.4,100.8,0.347,0.347,0.51,49.4,51.6,7.4,9.9,0.467,15,30.7,0.253,,65.4,102.3,0.378,0.319,0.533,50.6,52.9,8.3,8.2,0.493,16.9,30.9,0.272
Buffalo,30,18,12,0.6,-2.03,-2.27,9,7,9,4,8,6,2170,2135,1210,755,1742,0.433,207,597,0.347,453,632,0.717,379,1066,454,227,100,422,570,69,104,0.363,0.343,0.531,51,60.1,10.9,8.8,0.493,17.1,34.9,0.26,,69,102.3,0.388,0.313,0.548,49,47.8,10,8.1,0.512,19,31.6,0.272
Butler,38,33,5,0.868,14.37,5.08,18,0,15,0,12,1,2611,2258,1525,845,1911,0.442,260,761,0.342,661,896,0.738,353,1241,464,267,86,456,685,64.1,106.8,0.469,0.398,0.559,52.1,54.9,10.9,6.5,0.51,16.3,30.4,0.346,,64.1,92.4,0.346,0.316,0.501,47.9,50.6,8.2,10.4,0.466,19,27.4,0.235
Cal Poly,31,12,19,0.387,-7.99,-2.31,7,9,6,6,5,12,2176,2335,1255,738,1770,0.417,206,616,0.334,494,678,0.729,384,1100,364,171,73,417,683,67.8,102.3,0.383,0.348,0.52,51.1,49.3,8,6.8,0.475,16.6,34.1,0.279,,67.8,109.7,0.541,0.343,0.567,48.9,57.4,8.3,9.1,0.519,15.7,30.1,0.389
Cal State Fullerton,31,16,15,0.516,-2.87,-1.55,8,8,8,5,7,6,2303,2263,1285,790,1754,0.45,209,598,0.349,514,720,0.714,323,1141,421,175,98,454,613,69.3,103.4,0.41,0.341,0.549,50.2,53.3,7.9,7.6,0.51,17.8,29.7,0.293,,69.3,101.6,0.386,0.301,0.517,49.8,48.8,8.2,7.1,0.48,15.7,31,0.263
Cal State Northridge,32,11,21,0.344,-5.81,-1.06,6,10,7,6,2,13,2282,2412,1295,751,1789,0.42,156,500,0.312,624,933,0.669,431,1214,358,239,99,561,740,72.6,97.1,0.522,0.279,0.511,50.5,47.7,10.2,8.8,0.463,20.1,35.9,0.349,,72.6,102.6,0.48,0.381,0.538,49.5,61.8,10.8,8.5,0.489,18.9,34.9,0.344
UC-Davis,32,14,18,0.438,-6.23,-3.01,8,8,8,5,4,11,2225,2262,1285,751,1700,0.442,210,589,0.357,513,729,0.704,297,1015,446,247,90,482,641,69.4,99.8,0.429,0.346,0.544,48.6,59.4,11.1,8,0.504,19.1,28.1,0.302,,69.4,101.4,0.451,0.328,0.554,51.4,57.3,11,8,0.523,19.6,30.3,0.298
UC-Irvine,32,14,18,0.438,-7.49,-3.75,6,10,10,5,3,11,2162,2228,1285,749,1772,0.423,188,543,0.346,476,658,0.723,352,1060,419,181,89,367,603,65.7,102.5,0.371,0.306,0.519,48.5,55.9,8.6,7.6,0.476,15,31.1,0.269,,65.7,105.6,0.434,0.307,0.547,51.5,51.5,7.2,7.6,0.506,17.4,32.8,0.308
UC-Riverside,29,12,17,0.414,-6.99,-2.61,5,11,8,6,4,11,1833,1859,1175,643,1546,0.416,153,433,0.353,394,608,0.648,362,1063,353,149,67,377,532,63.1,98.9,0.393,0.28,0.5,53.3,54.9,8,7.5,0.465,17,35.5,0.255,,63.1,100.3,0.404,0.401,0.522,46.7,58.5,9.3,8.2,0.489,16.4,28,0.266
UC-Santa Barbara,30,20,10,0.667,-0.13,-1.09,12,4,11,2,6,7,2028,1972,1205,674,1522,0.443,205,544,0.377,475,698,0.681,268,984,414,202,92,460,572,67.7,99.4,0.459,0.357,0.547,48.4,61.4,9.9,9.5,0.51,19.9,27.4,0.312,,67.7,96.7,0.402,0.399,0.514,51.6,57.5,10.5,8.6,0.478,19.3,32.3,0.268
University of California,35,24,11,0.686,17.29,8.26,13,5,15,1,6,6,2703,2387,1405,966,2028,0.476,228,609,0.374,543,717,0.757,395,1241,500,198,86,421,593,67.9,113.4,0.354,0.3,0.571,52.5,51.8,8.3,6.3,0.533,15.1,34.7,0.268,,67.9,100.1,0.333,0.31,0.517,47.5,50.2,8.1,9.3,0.483,16.2,31.1,0.231
Campbell,30,19,11,0.633,-3.13,-4.96,14,6,12,3,7,7,2057,1900,1200,702,1578,0.445,144,411,0.35,509,719,0.708,353,978,430,314,64,429,563,66.7,102.9,0.456,0.26,0.536,50.6,61.3,15.7,7.1,0.49,18.3,35.4,0.323,,66.7,95,0.414,0.392,0.539,49.4,66,9.8,13.4,0.502,23.8,33.3,0.285
Canisius,32,15,17,0.469,-5.19,-4.09,8,10,7,5,5,10,2125,2160,1306,744,1806,0.412,210,667,0.315,427,609,0.701,404,1199,403,193,112,471,585,66.1,98.4,0.337,0.369,0.507,51,54.2,8.9,9.2,0.47,18.4,35,0.236,,66.1,100,0.316,0.347,0.506,49,55.2,10.6,9.9,0.478,16.5,33.5,0.207
Centenary (LA),29,8,21,0.276,-17.16,-5.08,3,15,5,9,3,11,2056,2320,1175,684,1645,0.416,227,644,0.352,461,629,0.733,274,874,383,231,65,442,617,71.9,97.3,0.382,0.391,0.529,43.9,56,10.9,5.8,0.485,18.5,25.9,0.28,,71.9,109.8,0.446,0.307,0.587,56.1,55.2,10.2,12.9,0.548,19.3,35.9,0.327
Central Connecticut State,30,12,18,0.4,-14.68,-9.68,9,9,8,4,3,13,1834,1935,1215,645,1599,0.403,152,487,0.312,392,547,0.717,330,974,329,200,90,402,454,63.7,94.8,0.342,0.305,0.493,48.7,51,10.3,7.8,0.451,17.8,32.1,0.245,,63.7,100.1,0.286,0.288,0.528,51.3,47.8,10.6,10.3,0.504,19,33.6,0.191
