,Abilene Christian,31,13,18,.419,-13.93,-7.53,8,10,10.1,5,2,12,2209,2272,1250,771,1704,.452,209,570,.367,458,653,.701,269,991,422,233,78,418,681,Unnamed: 32,69.7,101.4,.383,.335,.548,49.0,54.7,10.7,6.6,.514,17.2,26.0,.269,Unnamed: 13,69.7,104.3,.442,.292,.565,51.0,47.5,7.3,8.6,.527,18.2,26.9,.313,Unnamed: 13
0,Air Force,32,14,18,0.43799999999999994,-5.51,0.66,5,13,12,5,2,13,2189,2330,1300,752,1758,0.428,202,596,0.33899999999999997,483,707,0.6829999999999999,283,1107,420,196,58,422,617,,69.0,97.7,0.402,0.33899999999999997,0.523,48.3,55.9,8.7,5.9,0.485,16.8,24.7,0.275,,69.0,104.0,0.366,0.462,0.544,51.7,59.9,9.4,11.4,0.51,16.9,28.3,0.259,
1,Akron,35,26,9,0.743,5.55,-1.24,13,5,15,0,6,8,2682,2381,1405,911,2111,0.43200000000000005,409,1069,0.38299999999999995,451,659,0.684,373,1310,507,190,137,378,618,,69.1,110.5,0.312,0.506,0.5529999999999999,49.9,55.7,7.8,9.8,0.528,13.5,29.0,0.214,,69.1,98.1,0.317,0.332,0.49200000000000005,50.1,45.6,8.5,7.7,0.45899999999999996,14.4,30.0,0.215,
2,Alabama A&M,29,11,18,0.379,-13.47,-10.75,6,12,6,5,4,12,1974,2042,1175,681,1632,0.41700000000000004,175,599,0.292,439,642,0.684,330,1000,366,163,61,338,561,,65.6,102.4,0.39299999999999996,0.36700000000000005,0.51,49.4,53.7,8.5,5.7,0.47100000000000003,14.9,31.5,0.26899999999999996,,65.6,105.9,0.39799999999999996,0.325,0.537,50.6,48.3,8.9,8.1,0.507,14.2,31.4,0.264,
3,Alabama-Birmingham,33,26,7,0.7879999999999999,3.5,-3.07,16,2,16,0,10,4,2606,2323,1340,942,1970,0.478,250,671,0.373,472,654,0.722,366,1259,607,213,201,414,579,,69.4,112.0,0.332,0.341,0.5710000000000001,52.4,64.4,9.2,15.4,0.542,15.4,32.7,0.24,,69.4,99.9,0.292,0.353,0.506,47.6,51.1,8.8,7.9,0.475,15.4,30.4,0.20199999999999999,
4,Alabama State,31,14,17,0.452,-13.11,-9.35,9,9,8,3,5,12,2217,2308,1260,788,1918,0.41100000000000003,215,647,0.332,426,623,0.684,389,1153,372,181,107,371,646,,69.5,101.2,0.325,0.337,0.501,49.6,47.2,8.3,9.1,0.467,14.4,31.5,0.222,,69.5,105.4,0.44,0.326,0.547,50.4,50.0,8.5,8.3,0.519,15.9,29.8,0.28600000000000003,
5,Alabama,33,18,15,0.545,7.14,8.62,8,10,10,4,5,8,2193,2242,1330,738,1750,0.42200000000000004,259,763,0.33899999999999997,458,712,0.643,327,1141,347,192,175,438,631,,66.1,99.7,0.40700000000000003,0.436,0.525,47.5,47.0,8.7,14.2,0.496,17.3,28.3,0.262,,66.1,102.0,0.391,0.342,0.503,52.5,48.1,8.6,9.7,0.466,15.3,34.6,0.263,
6,Albany (NY),33,24,9,0.727,0.93,-7.57,13,3,14,1,10,8,2495,2180,1335,848,1850,0.45799999999999996,188,587,0.32,611,814,0.7509999999999999,385,1276,410,216,52,413,581,,67.8,110.3,0.44,0.317,0.5579999999999999,55.4,48.3,9.5,4.5,0.509,15.6,34.9,0.33,,67.8,96.3,0.272,0.395,0.508,44.6,50.4,7.8,10.4,0.48200000000000004,16.6,25.8,0.184,
7,Alcorn State,30,15,15,0.5,-16.01,-9.94,13,5,9,2,6,9,2014,2164,1225,691,1692,0.408,174,566,0.307,458,676,0.6779999999999999,384,1072,272,134,111,427,548,,66.4,99.0,0.4,0.335,0.5,50.8,39.4,6.6,10.3,0.46,17.5,35.0,0.271,,66.4,106.4,0.386,0.354,0.547,49.2,51.3,10.1,8.4,0.511,15.3,32.0,0.271,
8,American,31,12,19,0.387,-14.18,-6.08,9,9,5,7,7,12,1785,2036,1250,631,1487,0.424,195,572,0.341,328,471,0.696,218,874,348,176,69,422,566,,61.9,92.3,0.317,0.385,0.522,46.8,55.2,9.1,6.3,0.49,19.8,23.5,0.221,,61.9,105.3,0.401,0.302,0.545,53.2,49.3,11.6,8.2,0.516,16.5,30.2,0.267,
9,Appalachian State,31,9,22,0.29,-7.91,-1.1,7,13,6,7,2,12,2187,2398,1240,719,1795,0.401,256,720,0.35600000000000004,493,701,0.703,393,1142,357,127,103,461,666,,70.8,99.6,0.391,0.401,0.514,49.7,49.7,5.8,7.5,0.47200000000000003,17.8,32.9,0.275,,70.8,109.2,0.39799999999999996,0.256,0.544,50.3,43.6,9.0,10.8,0.512,13.7,32.3,0.272,
10,Arizona State,32,15,17,0.469,8.28,8.96,5,13,11,6,3,9,2345,2367,1290,796,1919,0.415,254,757,0.336,499,726,0.687,394,1177,405,170,86,384,649,,69.8,104.2,0.37799999999999995,0.39399999999999996,0.518,50.4,50.9,7.6,7.3,0.48100000000000004,14.5,31.5,0.26,,69.8,105.2,0.381,0.349,0.5529999999999999,49.6,58.2,8.3,12.9,0.52,16.1,27.8,0.267,
11,Arizona,34,25,9,0.735,18.79,7.23,12,6,17,1,5,5,2735,2342,1390,946,1970,0.48,221,580,0.381,622,863,0.721,390,1368,485,164,161,440,621,,69.8,112.7,0.43799999999999994,0.294,0.575,56.5,51.3,6.8,11.3,0.536,15.6,34.7,0.316,,69.8,96.5,0.293,0.313,0.49700000000000005,43.5,48.3,7.7,8.4,0.462,14.1,24.7,0.209,
12,Arkansas-Little Rock,35,30,5,0.857,7.12,-1.76,17,3,14,0,12,4,2487,2129,1415,886,1958,0.45299999999999996,266,693,0.384,449,616,0.7290000000000001,321,1195,451,230,106,362,640,,64.6,108.8,0.315,0.354,0.5529999999999999,50.1,50.9,10.1,9.6,0.52,13.9,27.7,0.22899999999999998,,64.6,93.1,0.371,0.395,0.496,49.9,52.4,6.1,7.6,0.456,18.5,28.8,0.254,
13,Arkansas-Pine Bluff,33,8,25,0.242,-19.31,-5.52,6,12,3,6,4,17,1867,2322,1325,674,1722,0.391,202,666,0.303,317,519,0.611,322,1004,317,235,123,515,723,,65.3,86.3,0.301,0.387,0.474,44.6,47.0,10.9,10.8,0.45,20.7,27.7,0.184,,65.3,107.4,0.537,0.327,0.544,55.4,59.0,12.5,9.4,0.49200000000000005,17.0,37.4,0.381,
14,Arkansas State,31,11,20,0.355,-7.48,-2.37,7,13,9,6,2,14,2282,2353,1260,770,1873,0.41100000000000003,180,570,0.316,562,766,0.7340000000000001,334,1243,381,157,136,398,613,,73.0,99.3,0.409,0.304,0.51,49.7,49.5,6.8,10.9,0.45899999999999996,15.1,28.1,0.3,,73.0,102.3,0.382,0.37200000000000005,0.502,50.3,50.4,8.5,7.2,0.46399999999999997,13.2,30.6,0.258,
15,Arkansas,32,16,16,0.5,10.23,6.76,9,9,13,4,3,8,2501,2390,1305,883,1992,0.44299999999999995,216,544,0.397,519,748,0.6940000000000001,374,1187,518,233,165,356,687,,71.3,107.5,0.376,0.273,0.5329999999999999,50.0,58.7,10.0,13.8,0.49700000000000005,13.2,30.9,0.261,,71.3,102.7,0.428,0.349,0.5379999999999999,50.0,55.7,7.1,9.7,0.498,17.0,30.0,0.3,
16,Army,33,19,14,0.5760000000000001,-7.32,-8.13,9,9,7,8,11,6,2539,2474,1350,895,2084,0.429,294,877,0.335,455,656,0.6940000000000001,406,1338,501,163,123,447,628,,72.2,104.2,0.315,0.42100000000000004,0.53,52.1,56.0,6.7,8.3,0.5,15.7,31.4,0.218,,72.2,101.6,0.318,0.27899999999999997,0.521,47.9,45.4,9.6,9.2,0.493,14.5,26.8,0.213,
17,Auburn,31,11,20,0.355,0.15,7.54,5,13,8,7,2,11,2192,2421,1245,724,1820,0.39799999999999996,272,799,0.34,472,746,0.633,346,1134,352,166,126,427,658,,72.5,97.1,0.41,0.439,0.504,47.2,48.6,7.4,10.4,0.473,16.4,27.9,0.259,,72.5,107.3,0.401,0.355,0.542,52.8,52.8,8.3,11.9,0.505,15.2,32.3,0.28,
18,Austin Peay,36,18,18,0.5,-6.04,-2.98,7,9,7,7,7,9,2740,2765,1460,945,2049,0.461,223,645,0.34600000000000003,627,936,0.67,418,1326,479,250,101,501,633,,70.6,106.4,0.457,0.315,0.5489999999999999,51.8,50.7,9.7,7.7,0.516,16.7,32.8,0.306,,70.6,107.3,0.309,0.389,0.5579999999999999,48.2,52.7,9.8,7.7,0.531,16.2,29.4,0.218,
19,Ball State,35,21,14,0.6,0.11,-2.98,10,8,13,6,6,8,2479,2338,1430,855,1919,0.446,305,818,0.373,464,670,0.693,325,1275,512,191,126,460,665,,66.2,104.8,0.349,0.426,0.5539999999999999,51.7,59.9,8.1,10.0,0.525,17.1,27.6,0.242,,66.2,98.8,0.375,0.35700000000000004,0.509,48.3,50.5,9.7,6.8,0.467,14.7,26.1,0.264,
20,Baylor,34,22,12,0.647,16.13,9.76,10,8,15,5,6,5,2621,2366,1375,933,2003,0.466,210,572,0.36700000000000005,545,752,0.725,467,1267,603,269,135,432,660,,67.6,112.8,0.375,0.28600000000000003,0.555,55.6,64.6,11.6,11.2,0.518,15.5,40.1,0.272,,67.6,101.9,0.376,0.34600000000000003,0.545,44.4,72.7,9.6,9.4,0.51,17.6,28.2,0.263,
21,Belmont,32,20,12,0.625,1.19,-2.1,12,4,11,1,8,10,2638,2510,1285,914,1849,0.494,338,931,0.363,472,650,0.726,273,1105,544,145,81,450,639,,72.8,112.8,0.35200000000000004,0.504,0.611,49.3,59.5,6.2,6.3,0.586,17.3,26.3,0.255,,72.8,107.4,0.36700000000000005,0.349,0.541,50.7,48.1,9.8,10.9,0.503,14.4,30.8,0.264,
22,Bethune-Cookman,32,14,18,0.43799999999999994,-14.35,-9.18,10,6,9,2,5,13,2258,2330,1295,799,1932,0.414,249,787,0.316,411,597,0.688,407,1186,371,197,191,412,601,,68.1,102.4,0.309,0.40700000000000003,0.51,48.5,46.4,8.9,15.3,0.478,15.7,32.9,0.213,,68.1,105.6,0.336,0.349,0.522,51.5,57.6,7.8,7.5,0.491,14.9,35.5,0.23,
23,Binghamton,30,8,22,0.267,-14.08,-6.35,5,11,5,9,3,13,1827,2059,1205,629,1614,0.39,171,599,0.285,398,584,0.682,273,1023,333,161,68,418,558,,67.4,90.0,0.36200000000000004,0.371,0.483,48.0,52.9,7.9,6.4,0.44299999999999995,18.1,25.2,0.247,,67.4,101.4,0.344,0.36200000000000004,0.528,52.0,54.5,10.4,8.3,0.496,16.0,28.4,0.23800000000000002,
24,Boise State,32,20,12,0.625,7.23,3.13,11,7,14,2,5,7,2480,2246,1290,842,1859,0.45299999999999996,261,788,0.331,535,755,0.7090000000000001,315,1110,430,209,64,371,622,,70.5,109.1,0.406,0.424,0.5589999999999999,51.3,51.1,9.2,5.8,0.523,14.3,28.5,0.28800000000000003,,70.5,98.8,0.358,0.379,0.544,48.7,49.4,7.4,9.8,0.511,18.6,24.9,0.25,
